sln,add1,no latitude found,no longitude found,no address found
1,Thevalakkara,8.9976716,76.5782434,"Thevalakkara, Kollam, Kerala, 691585, India"
2,Pavithreswaram,no latitude found,no longitude found,no address found
3,kadakkal,8.8308845,76.9202686,"Kadakkal, Kollam, Kerala, 691536, India"
4,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
5,Pattazhy V,9.0806988,76.7971993,"Pattazhy, Kollam, Kerala, India"
6,Nedumpana,8.9087479,76.694503,"Nedumpana, Kollam, Kerala, 691573, India"
7,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
8,Chavara,8.9871763,76.5348294,"Chavara, Kollam, Kerala, 691583, India"
9,Panayam,8.962758,76.6189148,"Panayam, Kollam, Kerala, 691601, India"
10,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
11,Kadakkal,8.8308845,76.9202686,"Kadakkal, Kollam, Kerala, 691536, India"
12,Nilamel,8.8238284,76.8824457,"Nilamel, Kollam, Kerala, 691536, India"
13,Thrikkovilvattom,8.9067337,76.6672421,"Thrikkovilvattom, Kollam, Kerala, 691005, India"
14,East Kallada,9.0231615,76.9270966,"Kallada, Kollam, Kerala, 691001, India"
15,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
16,Alayamon,8.9004707,76.9550755,"Alayamon, Kollam, Kerala, India"
17,Anchal,8.9273275,76.9139866,"Anchal, Kollam, Kerala, 691306, India"
18,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
19,Kulakkada,9.0780245,76.7528205,"Kulakkada, Pattanamtitta, Kerala, India"
20,Kulakkada,9.0780245,76.7528205,"Kulakkada, Pattanamtitta, Kerala, India"
21,Mynagappally,9.039542,76.5840215,"Mynagappally, Kollam, Kerala, 690523, India"
22,Paravoor,9.4521739,76.342065,"Paravoor, Alappuzha, Kerala, 688003, India"
23,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
24,Kulathupuzha,8.8977495,77.0558688,"Kulathupuzha, Kollam, Kerala, 691310, India"
25,chithara,8.8147119,76.9666744,"Chithara, Kollam, Kerala, 691536, India"
26,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
27,Paravoor,9.4521739,76.342065,"Paravoor, Alappuzha, Kerala, 688003, India"
28,Nedumpana,no latitude found,no longitude found,no address found
29,Nedumpana,no latitude found,no longitude found,no address found
30,Nilamel,8.8238284,76.8824457,"Nilamel, Kollam, Kerala, 691536, India"
31,Pavithreswaram,9.0221563,76.7041254,"Pavithreswaram, Kollam, Kerala, 691505, India"
32,Mynagappally,9.039542,76.5840215,"Mynagappally, Kollam, Kerala, 690523, India"
33,Chathannoor,8.8640806,76.7142084,"Chathannoor, Kollam, Kerala, 691573, India"
34,chithara,8.8147119,76.9666744,"Chithara, Kollam, Kerala, 691536, India"
35,Kottamkara,8.9299662,76.6772732,"Kottamkara, Kollam, Kerala, 691501, India"
36,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
37,ummannoor,8.9332638,76.8206089,"Ummannoor, Kollam, Kerala, 691512, India"
38,Oachira,9.1303868,76.5146262,"Oachira, Alappuzha, Kerala, 690526, India"
39,Chavara,8.9871763,76.5348294,"Chavara, Kollam, Kerala, 691583, India"
40,Nedumpana,no latitude found,no longitude found,no address found
41,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
42,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
43,Punalur,no latitude found,no longitude found,no address found
44,Velinelloor,8.8692492,76.7863541,"Velinelloor, Kollam, Kerala, 691534, India"
45,Thevalakkara,8.9976716,76.5782434,"Thevalakkara, Kollam, Kerala, 691585, India"
46,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
47,Vilakkudi,9.0300126,76.8648525,"Vilakkudi, Kollam, Kerala, 691508, India"
48,Bhoothakulam,8.80509225,76.6992828199671,"Bhoothakulam Sree Dharma Sastha Temple, Paripalli-Paravur Road, Parippally, Kollam, Kerala, 691301, India"
49,Panmana,9.0082147,76.5425181,"Panmana, Kollam, Kerala, 691583, India"
50,Punalur,9.0177129,76.9260419,"Punalur, Kollam, Kerala, 691305, India"
51,Thrikkovilvattom,no latitude found,no longitude found,no address found
52,Ittiva,8.8608055,76.9208785,"Ittiva, Kollam, Kerala, 691536, India"
53,Eastkallada,no latitude found,no longitude found,no address found
54,Elampalloor,no latitude found,no longitude found,no address found
55,Paravur kollam,8.8098891,76.6715303,"Paravur, Kollam, Kerala, 691301, India"
56,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
57,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
58,Ittiva,8.8608055,76.9208785,"Ittiva, Kollam, Kerala, 691536, India"
59,Nedumpana,no latitude found,no longitude found,no address found
60,Chathannoor,8.8640806,76.7142084,"Chathannoor, Kollam, Kerala, 691573, India"
61,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
62,Anchal,8.9273275,76.9139866,"Anchal, Kollam, Kerala, 691306, India"
63,Nedumancavu,no latitude found,no longitude found,no address found
64,Kulathupuzha,8.8977495,77.0558688,"Kulathupuzha, Kollam, Kerala, 691310, India"
65,clappana,no latitude found,no longitude found,no address found
