sln,add1,add2
1,Thevalakkara,Thevalakkara
2,Pavithreswaram,S.N Puram
3,kadakkal,Nilamel
4,Kulasekharapuram,Kulasekharapuram
5,Pattazhy V,"Patazhy 
Vadakkekkara"
6,Nedumpana,Nedumpana
7,kollam,Kilikolloor
8,Chavara,Chavara
9,Panayam,Perumon
10,Piravanthur,Piravanthur
11,Kadakkal,Nilamel
12,Nilamel,Nilamel
13,Thrikkovilvattom,Thrikkovilvattom
14,East Kallada,East Kallada
15,Karunagappally,Karunagappally
16,Alayamon,Alayamon
17,Anchal,Anchal
18,Karunagappally,Karunagappally
19,Kulakkada,Kulakkada
20,Kulakkada,Kulakkada
21,Mynagappally,Mynagappally
22,Paravoor,Pozhikkara
23,Piravanthur,Piravanthur
24,Kulathupuzha,Kulathupuzha
25,chithara,Madathara
26,Karunagappally,Karunagappally
27,Paravoor,Pozhikkara
28,Nedumpana,Nedumpana
29,Nedumpana,Nedumpana
30,Nilamel,Nilamel
31,Pavithreswaram,S.N Puram
32,Mynagappally,Mynagappally
33,Chathannoor,Chathannoor
34,chithara,Mancode
35,Kottamkara,Kottamkara
36,kollam,Eravipuram
37,ummannoor,Ummannoor
38,Oachira,Oachira
39,Chavara,chavara
40,Nedumpana,Nedumpana
41,Thenmala,Thenmala
42,Piravanthur,Piravanthur
43,Punalur,Punalur
44,Velinelloor,Velinelloor
45,Thevalakkara,Thevalakkara
46,Karunagappally,Karunagappally
47,Vilakkudi,Vilakkudi
48,Bhoothakulam,Kalakkodu
49,Panmana,Chavara
50,Punalur,Punalur
51,Thrikkovilvattom,Thrikkovilvattom
52,Ittiva,Ittiva
53,Eastkallada,East Kallada
54,Elampalloor,Kottamkara
55,Paravur kollam,Pozhikkara
56,kollam,kollam
57,kollam,kollam
58,Ittiva,Ittiva
59,Nedumpana,Nedumpana
60,Chathannoor,Chathannoor
61,Kulasekharapuram,Kulasekharapuram
62,Anchal,Anchal
63,Nedumancavu,Nedumancavu
64,Kulathupuzha,Kulathupuzha
65,clappana,vallikkavu
66,Oachira,Oachira
67,Mynagappally,Mynagappally
68,Kareepra,Nedumancavu
69,Elamadu,Elamadu
70,Piravanthur,Piravanthur
71,Kareepra,Nedumancavu
72,Eravipuram,Eravipuram
73,Kulasekharapuram,Kulasekharapuram
74,sasthamkotta,Sasthamcotta
75,Sasthamcotta,Sasthamcotta
76,Thrikkaruva,Thrikkaruva
77,Karunagapally,Mynagappally
78,Chadayamangalam,Chadayamangalam
79,Thenmala,Thenmala
80,Kareepra,Nedumancavu
81,Pattazhy N,"Patazhy 
Vadakkekkara"
82,kollam,Sakthikulangara
83,kollam,Kilikolloor
84,Thenmala,Thenmala
85,Thenmala,Thenmala
86,Thrikkadavoor,Thrikkadavoor
87,Edamulackal,Edamulackal
88,Thenmala,Thenmala
89,chavara,chavara
90,Thenmala,Thenmala
91,Thazhava,Thazhava
92,Pathanapuram,Pathanapuram
93,Thenmala,Thenmala
94,Thenmala,Thenmala
95,Pathanapuram,Pathanapuram
96,Thalavoor,Thalavoor
97,Piravanthur,Mancode Ptpm
98,vilakkudi,Vilakkudi
99,Kulasekharapuram,Kulasekharapuram
100,Thenmala,Thenmala
101,Thenmala,Thenmala
102,vettikkavala,Thalachira
103,Aryankavu,Aryankavu
104,Kulasekharapuram,Kulasekharapuram
105,Thenmala,Thenmala
106,west kallada,west kallada
107,Karunagappally,Mynagappally
108,Mynagappally,Mynagappally
109,Adichanalloor,Adichanalloor
110,Sooranad South,Sooranad South
111,Kottarakkara,Nedumancavu
112,kollam,Sakthikulangara
113,Piravanthur,Piravanthur
114,Thenmala,Thenmala
115,Thodiyoor,Thodiyoor
116,Pathanapuram,Mancode Ptpm
117,Pathanapuram,Pathanapuram
118,Piravanthur,Piravanthur
119,Vilakudi,Vilakkudi
120,Karavaloor,Karavaloor
121,Karavaloor,Karavaloor
122,Thenmala,Thenmala
123,"Mancodu
Pathanapuram",Mancode Ptpm
124,Karunagappally,Karunagappally
125,Sooranad,Sooranad North
126,Kulasekharapuram,Kulasekharapuram
127,Panmana,chavara
128,Ummannoor,ummannoor
129,Karunagappally,Karunagappally
130,Kulasekharapuram,Kulasekharapuram
131,Karunagappally,Karunagappally
132,Alappad,Alappad
133,Kulasekharapuram,Kulasekharapuram
134,Karunagappally ,Karunagappally 
135,Piravanthur,Piravanthur
136,Pathanapuram,Pathanapuram
137,Pathanapuram,Pathanapuram
138,Piravanthur,Mancode Ptpm
139,kollam,kollam
140,vilakkudi,Vilakkudi
141,Pathanapuram,Pathanapuram
142,Piravanthur,Piravanthur
143,Alayamon,Alayamon
144,Piravanthur,Piravanthur
145,Thevalakkara,Thevalakkara
146,Thazhava,Thazhava
147,chavara,chavara
148,Thrikadavoor,Thrikadavoor
149,kalluvathukkal,Parippally
150,veliyom,Veliyom
151,Pathanapuram,Pathanapuram
152,Pathanapuram,Pathanapuram
153,Oachira,Oachira
154,Mynagappally,Mynagappally
155,Thodiyoor,Thodiyoor
156,Thevalakkara,Thevalakkara
157,Thevalakkara,Thevalakkara
158,Piravanthur,Piravanthur
159,Pathanapuram,Pathanapuram
160,Pathanapuram,Pathanapuram
161,Thodiyoor,Thodiyoor
162,Melila,Melila
163,Edamulackal,Edamulackal
164,Pathanapuram,Pathanapuram
165,Pattazhy,Pattazhy
166,Melila,Melila
167,Pathanapuram,Pathanapuram
168,Kadakkal,nilamel
169,Pattazhy,Pattazhy
170,Pathanapuram,Pathanapuram
171,Karavaloor,Karavaloor
172,Mynagappally,Mynagappally
173,Kulasekharapuram,Kulasekharapuram
174,Thevalakkara,Thevalakkara
175,Mancode ptpm,Mancode ptpm
176,Thenmala,Thenmala
177,Thodiyoor,Thodiyoor
178,Pathanapuram,Pathanapuram
179,Elamadu,Elamadu
180,Elamadu,Elamadu
181,Pathanapuram,Pathanapuram
182,Pathanapuram,Pathanapuram
183,Pathanapuram,Pathanapuram
184,Thenmala,Thenmala
185,chathannoor,chathannoor
186,Thenmala,Thenmala
187,kollam,Eravipuram
188,kollam,Palathara
189,Kottamkara,Kottamkara
190,Thevalakkara,Thevalakkara
191,Nedumpana,Nedumpana
192,Thrikadavoor,Thrikadavoor
193,Elampalloor,Kottamkara
194,Punalur,Punalur
195,kollam,kollam
196,kollam,Sakthikulangara
197,Perinad,Perinad
198,Thazhava,Thazhava
199,poruvazhy,poruvazhy
200,Perayom,Poerayom
201,Karavaloor,Karavaloor
202,Karavaloor,Karavaloor
203,Ezhukone,Ezhukone P
204,Thodiyoor,Thodiyoor
205,Adichanalloor,Adichanalloor
206,Karavaloor,Karavaloor
207,Pathanapuram,Pathanapuram
208,Neendakara,Neendakara
209,Pathanapuram,Pathanapuram
210,Sooranad North,Sooranad North
211,Thazhava,Thazhava
212,Thevalakkara,Thevalakkara
213,Neduvathoor,Neduvathoor
214,Nilamel,Nilamel;
215,Nilamel,Nilamel;
216,Ittiva,Ittiva
217,Kulasekharapuram,Kulasekharapuram
218,Paravoor,Pozhikkara
219,Karunagappally ,Mynagappally
220,Karunagappally ,Mynagappally
221,Karunagappally ,Karunagappally
222,Paravoor,Pozhikkara
223,Ummannoor,Ummannoor
224,Punalur,Punalur
225,Nedumpana,Nedumpana
226,Neendakara,Neendakara
227,Thazhava,Thazhava
228,Kulasekharapuram,Kulasekharapuram
229,Parvoor,Pozhikkara
230,veliyam,veliyam
231,Punalur,Punalur
232,Thenmala,Thenmala
233,vilakkudi,vilakkudi
234,Karavaloor,karavaloor
235,Karavaloor,Karavaloor
236,Ummannoor,Ummannoor
237,Ummannoor,Ummannoor
238,Nedumpana,Nedumpana
239,kollam,Palathara
240,Mynagappally,Mynagappally
241,,Nedumpana
242,Nedumpana,Nedumpana
243,Perayam,Perayam
244,chavara,chavara
245,kollam,kollam
246,Vilakkudi,vilakkudi
247,karunagappally,Mynagappally
248,karunagappally,Mynagappally
249,Piravanthur,Piravanthur
250,Kulakkada,Kulakkada
251,Vettikavala,Thalachira
252,Kareepra,Nedumancavu
253,Sasthamkotta,Sasthamkotta
254,Vettikavala,Thalachira
255,Vettikavala,Thalachira
256,Thrikadavoor,Thrikadavoor
257,Kottarakkara,Nedumancavu
258,Kottamkara,Kottamkara
259,Adichanalloor,Adichanalloor
260,Kottarakkara,Nedumancavu
261,Oachira,Oachira
262,Thevalakkara,Thevalakkara
263,Kottamkara,Kottamkara
264,Vettikavala,Thalachira
265,Thalavoor,Thalavoor
266,clappana,vallikkavu
267,Karunagappally ,Karunagappally
268,Alappadu,Alappadu
269,Thazhava,Thazhava
270,panmana,chavara
271,Pattazhy,Pattazhy
272,Thazhava,Thazhava
273,Eravipuram,Eravipuram
274,Neduvathur,Neduvathur
275,Elamadu,Elamadu
276,Vettikavala,Thalachira
277,Thodiyoor,Thodiyoor
278,elamadu,Elamadu
279,kollam,Kilikolloor
280,Thalavoor,Thalavoor
